时间,合约代码,合约名称,买/卖,开/平,成交量,成交价,费用
2017-02-09 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 1000, 8.43, 10.959
2017-02-09 15:00:00, 601601.XSHG, 中国太保, 买, 开, 200, 28.0, 5.0
2017-02-10 15:00:00, 000002.XSHE, 万科A, 卖, 平, 300, 20.66, 8.099
2017-02-10 15:00:00, 000002.XSHE, 万科A, 买, 开, 300, 20.66, 5.0
2017-02-13 15:00:00, 000002.XSHE, 万科A, 买, 开, 100, 20.77, 5.0
2017-02-14 15:00:00, 000002.XSHE, 万科A, 卖, 平, 400, 20.91, 10.8732
2017-02-14 15:00:00, 601398.XSHG, 工商银行, 买, 开, 100, 4.62, 5.0
2017-02-14 15:00:00, 601857.XSHG, 中国石油, 买, 开, 900, 8.39, 6.0408
2017-02-15 15:00:00, 601628.XSHG, 中国人寿, 买, 开, 200, 26.58, 5.0
2017-02-20 15:00:00, 600000.XSHG, 浦发银行, 卖, 平, 300, 16.91, 7.5365
2017-02-20 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 100, 4.67, 5.2335
2017-02-21 15:00:00, 601939.XSHG, 建设银行, 买, 开, 100, 5.94, 5.0
2017-02-23 15:00:00, 002415.XSHE, 海康威视, 买, 开, 200, 28.89, 5.0
2017-02-27 15:00:00, 601628.XSHG, 中国人寿, 卖, 平, 200, 25.59, 7.559
2017-02-27 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 100, 5.9, 5.295
2017-02-28 15:00:00, 601318.XSHG, 中国平安, 卖, 平, 100, 36.23, 6.8115
2017-02-28 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 400, 4.69, 5.938
2017-02-28 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 200, 8.23, 5.823
2017-03-01 15:00:00, 601398.XSHG, 工商银行, 买, 开, 300, 4.68, 5.0
2017-03-03 15:00:00, 601766.XSHG, 中国中车, 卖, 平, 500, 10.27, 7.5675
2017-03-03 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 100, 4.65, 5.2325
2017-03-03 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 100, 5.88, 5.294
2017-03-06 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 1300, 4.64, 8.016
2017-03-06 15:00:00, 601398.XSHG, 工商银行, 买, 开, 1300, 4.64, 5.0
2017-03-06 15:00:00, 601288.XSHG, 农业银行, 卖, 平, 200, 3.24, 5.324
2017-03-06 15:00:00, 601328.XSHG, 交通银行, 买, 开, 900, 6.18, 5.0
2017-03-07 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 1300, 4.68, 8.042
2017-03-07 15:00:00, 601288.XSHG, 农业银行, 买, 开, 100, 3.24, 5.0
2017-03-07 15:00:00, 600028.XSHG, 中国石化, 买, 开, 1100, 5.63, 5.0
2017-03-07 15:00:00, 600104.XSHG, 上汽集团, 买, 开, 200, 25.3, 5.0
2017-03-08 15:00:00, 600104.XSHG, 上汽集团, 卖, 平, 200, 25.2, 7.52
2017-03-08 15:00:00, 600104.XSHG, 上汽集团, 买, 开, 200, 25.2, 5.0
2017-03-08 15:00:00, 601766.XSHG, 中国中车, 买, 开, 600, 10.19, 5.0
2017-03-09 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 700, 7.96, 7.786
2017-03-10 15:00:00, 600028.XSHG, 中国石化, 买, 开, 200, 5.51, 5.0
2017-03-13 15:00:00, 601668.XSHG, 中国建筑, 买, 开, 700, 8.67, 5.0
2017-03-14 15:00:00, 601988.XSHG, 中国银行, 卖, 平, 1600, 3.66, 7.928
2017-03-15 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1000, 5.93, 7.965
2017-03-15 15:00:00, 601288.XSHG, 农业银行, 卖, 平, 2000, 3.26, 8.476
2017-03-15 15:00:00, 000002.XSHE, 万科A, 买, 开, 200, 21.29, 5.0
2017-03-16 15:00:00, 000002.XSHE, 万科A, 买, 开, 100, 21.27, 5.0
2017-03-17 15:00:00, 601668.XSHG, 中国建筑, 卖, 平, 700, 8.77, 8.0695
2017-03-17 15:00:00, 000333.XSHE, 美的集团, 买, 开, 100, 33.41, 5.0
2017-03-21 15:00:00, 601601.XSHG, 中国太保, 卖, 平, 200, 27.36, 7.736
2017-03-21 15:00:00, 601939.XSHG, 建设银行, 买, 开, 1100, 5.89, 5.1832
2017-03-21 15:00:00, 601988.XSHG, 中国银行, 买, 开, 1800, 3.65, 5.256
2017-03-21 15:00:00, 601288.XSHG, 农业银行, 买, 开, 2000, 3.25, 5.2
2017-03-22 15:00:00, 601766.XSHG, 中国中车, 卖, 平, 600, 10.29, 8.087
2017-03-22 15:00:00, 601939.XSHG, 建设银行, 买, 开, 100, 5.8, 5.0
2017-03-24 15:00:00, 600050.XSHG, 中国联通, 买, 开, 800, 7.66, 5.0
2017-03-27 15:00:00, 600104.XSHG, 上汽集团, 卖, 平, 200, 25.07, 7.507
2017-03-27 15:00:00, 601288.XSHG, 农业银行, 卖, 平, 2000, 3.28, 8.528
2017-03-27 15:00:00, 600900.XSHG, 长江电力, 买, 开, 400, 13.34, 5.0
2017-03-28 15:00:00, 601328.XSHG, 交通银行, 卖, 平, 900, 6.18, 7.781
2017-03-28 15:00:00, 601857.XSHG, 中国石油, 买, 开, 700, 7.85, 5.0
2017-03-28 15:00:00, 600028.XSHG, 中国石化, 卖, 平, 200, 5.67, 5.567
2017-03-29 15:00:00, 600050.XSHG, 中国联通, 卖, 平, 800, 7.43, 7.972
2017-03-29 15:00:00, 601857.XSHG, 中国石油, 买, 开, 100, 7.85, 5.0
2017-03-29 15:00:00, 600028.XSHG, 中国石化, 买, 开, 100, 5.69, 5.0
2017-03-30 15:00:00, 601318.XSHG, 中国平安, 买, 开, 100, 36.75, 5.0
2017-03-30 15:00:00, 601998.XSHG, 中信银行, 买, 开, 900, 6.63, 5.0
2017-04-07 15:00:00, 000333.XSHE, 美的集团, 卖, 平, 100, 33.65, 6.6825
2017-04-07 15:00:00, 601988.XSHG, 中国银行, 卖, 平, 100, 3.64, 5.182
2017-04-10 15:00:00, 601398.XSHG, 工商银行, 买, 开, 1300, 4.83, 5.0232
2017-04-12 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1200, 5.96, 9.2976
2017-04-12 15:00:00, 601318.XSHG, 中国平安, 卖, 平, 100, 36.01, 6.8005
2017-04-12 15:00:00, 601998.XSHG, 中信银行, 卖, 平, 900, 6.67, 8.0015
2017-04-12 15:00:00, 601288.XSHG, 农业银行, 买, 开, 1600, 3.32, 5.0
2017-04-12 15:00:00, 601088.XSHG, 中国神华, 买, 开, 200, 19.25, 5.0
2017-04-12 15:00:00, 601818.XSHG, 光大银行, 买, 开, 1300, 4.03, 5.0
2017-04-17 15:00:00, 601288.XSHG, 农业银行, 卖, 平, 1600, 3.3, 7.64
2017-04-17 15:00:00, 601857.XSHG, 中国石油, 买, 开, 100, 8.05, 5.0
2017-04-18 15:00:00, 601088.XSHG, 中国神华, 卖, 平, 200, 19.22, 6.922
2017-04-18 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 100, 4.79, 5.2395
2017-04-18 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 200, 7.96, 5.796
2017-04-19 15:00:00, 600028.XSHG, 中国石化, 卖, 平, 1200, 5.76, 8.9856
2017-04-19 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 1200, 4.74, 7.844
2017-04-19 15:00:00, 601398.XSHG, 工商银行, 买, 开, 1300, 4.74, 5.0
2017-04-19 15:00:00, 601939.XSHG, 建设银行, 买, 开, 1000, 5.76, 5.0
2017-04-19 15:00:00, 601857.XSHG, 中国石油, 买, 开, 100, 7.8, 5.0
2017-04-19 15:00:00, 601288.XSHG, 农业银行, 买, 开, 1900, 3.25, 5.0
2017-04-25 15:00:00, 000333.XSHE, 美的集团, 买, 开, 100, 34.24, 5.0
2017-04-26 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1000, 5.98, 7.99
2017-04-26 15:00:00, 600016.XSHG, 民生银行, 买, 开, 1100, 7.71, 6.7848
2017-04-27 15:00:00, 000002.XSHE, 万科A, 卖, 平, 300, 19.76, 7.964
2017-04-28 15:00:00, 601939.XSHG, 建设银行, 买, 开, 1000, 5.98, 5.0
2017-05-02 15:00:00, 000333.XSHE, 美的集团, 卖, 平, 100, 34.92, 6.746
2017-05-02 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 300, 5.91, 5.8865
2017-05-03 15:00:00, 601939.XSHG, 建设银行, 买, 开, 200, 5.88, 5.0
2017-05-04 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 100, 5.89, 5.2945
2017-05-05 15:00:00, 601288.XSHG, 农业银行, 卖, 平, 1900, 3.33, 8.2251
2017-05-05 15:00:00, 601628.XSHG, 中国人寿, 买, 开, 200, 25.77, 5.0
