时间,合约代码,合约名称,最新价,多/空,仓位,开仓均价,市值,累计盈亏,保证金,费用
2017-03-17 15:30:00, 000002.XSHE, 万科A, 21.54, --, 300, 21.2833, 6462.0, 77.0, --, 0
2017-03-17 15:30:00, 000333.XSHE, 美的集团, 33.41, --, 100, 33.41, 3341.0, 0, --, 5.0
2017-03-20 15:30:00, 601601.XSHG, 中国太保, 27.35, --, 200, 28.0, 5470.0, -130.0, --, 0
2017-03-20 15:30:00, 002415.XSHE, 海康威视, 30.18, --, 200, 28.89, 6036.0, 258.0, --, 0
2017-03-20 15:30:00, 601328.XSHG, 交通银行, 6.17, --, 900, 6.18, 5553.0, -9.0, --, 0
2017-03-20 15:30:00, 600028.XSHG, 中国石化, 5.68, --, 1300, 5.6115, 7384.0, 89.0, --, 0
2017-03-20 15:30:00, 600104.XSHG, 上汽集团, 24.28, --, 200, 25.2, 4856.0, -184.0, --, 0
2017-03-20 15:30:00, 601766.XSHG, 中国中车, 10.21, --, 600, 10.19, 6126.0, 12.0, --, 0
2017-03-20 15:30:00, 000002.XSHE, 万科A, 21.13, --, 300, 21.2833, 6339.0, -46.0, --, 0
2017-03-20 15:30:00, 000333.XSHE, 美的集团, 33.48, --, 100, 33.41, 3348.0, 7.0, --, 0
2017-03-21 15:30:00, 002415.XSHE, 海康威视, 30.68, --, 200, 28.89, 6136.0, 358.0, --, 0
2017-03-21 15:30:00, 601328.XSHG, 交通银行, 6.15, --, 900, 6.18, 5535.0, -27.0, --, 0
2017-03-21 15:30:00, 600028.XSHG, 中国石化, 5.67, --, 1300, 5.6115, 7371.0, 76.0, --, 0
2017-03-21 15:30:00, 600104.XSHG, 上汽集团, 24.67, --, 200, 25.2, 4934.0, -106.0, --, 0
2017-03-21 15:30:00, 601766.XSHG, 中国中车, 10.27, --, 600, 10.19, 6162.0, 48.0, --, 0
2017-03-21 15:30:00, 000002.XSHE, 万科A, 21.18, --, 300, 21.2833, 6354.0, -31.0, --, 0
2017-03-21 15:30:00, 000333.XSHE, 美的集团, 34.31, --, 100, 33.41, 3431.0, 90.0, --, 0
2017-03-21 15:30:00, 601939.XSHG, 建设银行, 5.89, --, 1100, 5.89, 6479.0, 0, --, 5.1832
2017-03-21 15:30:00, 601988.XSHG, 中国银行, 3.65, --, 1800, 3.65, 6570.0, 0, --, 5.256
2017-03-21 15:30:00, 601288.XSHG, 农业银行, 3.25, --, 2000, 3.25, 6500.0, 0, --, 5.2
2017-03-22 15:30:00, 002415.XSHE, 海康威视, 31.55, --, 200, 28.89, 6310.0, 532.0, --, 0
2017-03-22 15:30:00, 601328.XSHG, 交通银行, 6.04, --, 900, 6.18, 5436.0, -126.0, --, 0
2017-03-22 15:30:00, 600028.XSHG, 中国石化, 5.74, --, 1300, 5.6115, 7462.0, 167.0, --, 0
2017-03-22 15:30:00, 600104.XSHG, 上汽集团, 24.44, --, 200, 25.2, 4888.0, -152.0, --, 0
2017-03-22 15:30:00, 000002.XSHE, 万科A, 21.07, --, 300, 21.2833, 6321.0, -64.0, --, 0
2017-03-22 15:30:00, 000333.XSHE, 美的集团, 34.36, --, 100, 33.41, 3436.0, 95.0, --, 0
2017-03-22 15:30:00, 601939.XSHG, 建设银行, 5.8, --, 1200, 5.8825, 6960.0, -99.0, --, 5.0
2017-03-22 15:30:00, 601988.XSHG, 中国银行, 3.6, --, 1800, 3.65, 6480.0, -90.0, --, 0
2017-03-22 15:30:00, 601288.XSHG, 农业银行, 3.24, --, 2000, 3.25, 6480.0, -20.0, --, 0
2017-03-23 15:30:00, 002415.XSHE, 海康威视, 31.54, --, 200, 28.89, 6308.0, 530.0, --, 0
2017-03-23 15:30:00, 601328.XSHG, 交通银行, 6.07, --, 900, 6.18, 5463.0, -99.0, --, 0
2017-03-23 15:30:00, 600028.XSHG, 中国石化, 5.71, --, 1300, 5.6115, 7423.0, 128.0, --, 0
2017-03-23 15:30:00, 600104.XSHG, 上汽集团, 24.97, --, 200, 25.2, 4994.0, -46.0, --, 0
2017-03-23 15:30:00, 000002.XSHE, 万科A, 21.45, --, 300, 21.2833, 6435.0, 50.0, --, 0
2017-03-23 15:30:00, 000333.XSHE, 美的集团, 34.75, --, 100, 33.41, 3475.0, 134.0, --, 0
2017-03-23 15:30:00, 601939.XSHG, 建设银行, 5.84, --, 1200, 5.8825, 7008.0, -51.0, --, 0
2017-03-23 15:30:00, 601988.XSHG, 中国银行, 3.6, --, 1800, 3.65, 6480.0, -90.0, --, 0
2017-03-23 15:30:00, 601288.XSHG, 农业银行, 3.24, --, 2000, 3.25, 6480.0, -20.0, --, 0
2017-03-24 15:30:00, 002415.XSHE, 海康威视, 32.62, --, 200, 28.89, 6524.0, 746.0, --, 0
2017-03-24 15:30:00, 601328.XSHG, 交通银行, 6.1, --, 900, 6.18, 5490.0, -72.0, --, 0
2017-03-24 15:30:00, 600028.XSHG, 中国石化, 5.8, --, 1300, 5.6115, 7540.0, 245.0, --, 0
2017-03-24 15:30:00, 600104.XSHG, 上汽集团, 25.24, --, 200, 25.2, 5048.0, 8.0, --, 0
2017-03-24 15:30:00, 000002.XSHE, 万科A, 21.49, --, 300, 21.2833, 6447.0, 62.0, --, 0
2017-03-24 15:30:00, 000333.XSHE, 美的集团, 34.92, --, 100, 33.41, 3492.0, 151.0, --, 0
2017-03-24 15:30:00, 601939.XSHG, 建设银行, 5.84, --, 1200, 5.8825, 7008.0, -51.0, --, 0
2017-03-24 15:30:00, 601988.XSHG, 中国银行, 3.63, --, 1800, 3.65, 6534.0, -36.0, --, 0
2017-03-24 15:30:00, 601288.XSHG, 农业银行, 3.25, --, 2000, 3.25, 6500.0, 0, --, 0
2017-03-24 15:30:00, 600050.XSHG, 中国联通, 7.66, --, 800, 7.66, 6128.0, 0, --, 5.0
2017-03-27 15:30:00, 002415.XSHE, 海康威视, 32.45, --, 200, 28.89, 6490.0, 712.0, --, 0
2017-03-27 15:30:00, 601328.XSHG, 交通银行, 6.18, --, 900, 6.18, 5562.0, 0, --, 0
2017-03-27 15:30:00, 600028.XSHG, 中国石化, 5.71, --, 1300, 5.6115, 7423.0, 128.0, --, 0
2017-03-27 15:30:00, 000002.XSHE, 万科A, 21.2, --, 300, 21.2833, 6360.0, -25.0, --, 0
2017-03-27 15:30:00, 000333.XSHE, 美的集团, 34.15, --, 100, 33.41, 3415.0, 74.0, --, 0
2017-03-27 15:30:00, 601939.XSHG, 建设银行, 5.92, --, 1200, 5.8825, 7104.0, 45.0, --, 0
2017-03-27 15:30:00, 601988.XSHG, 中国银行, 3.65, --, 1800, 3.65, 6570.0, 0, --, 0
